Residence,Area live-in Satisfaction,Nearby Places,Area related Info,Area Sanitation(1-5),Nature,MentalPeace,Reaction on lack of something,Free time activities,GoOut,Stress Management,Descrimination,Outing Preference
Green Park City,Yeah it is in general a great place with almost every necessary thing availible,Parks;Mosques;Grocery Stores,"Social, Quiet, Private",4,Extrovert,No,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi
Shah Faisal Colony,No..because of the behavior of people ,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Kill time,Once or twice a week,Go with the flow,Try to change the other person's view,KFC
Surjani town,I am not totally satisfied as all the things are perfectly fine there except the electricity.,Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",3,Extrovert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Dominos
Gulshan-e-Rafi Malir,"No, bcz the condition of roads is miserable. ",Parks;Mosques;Grocery Stores,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Dominos
Gulshan e Iqbal,Yes.,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy
North Nazimabad,Yep,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,KFC
Gulshan e Iqbal,Yes alhamdulillah no shortage of water n electricity issue here,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy
Gulistan e jauhar,"Yes .. 
All basic necessaries are there lie water,gas,no electricity shutdown and every is available ..",Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
North Karachi,"YES,ALHAMDULILLAH.",Grocery Stores;Mosques;Parks,"Social, Noisy, Public",3,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto
North Karachi,"yes, ALHAMDULILLAH ",Parks;Restaraunts;Mosques,"Social, Noisy, Public",2,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto
North Nazimabad,Yee,Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC
Gulshan,"Yes, as all facilities are easily available as this area lies in the central of this city.",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Aylanto
